Movie_Name,Year,Rating
10,1979,3
10 Things I Hate About You,1999,3
101 Dalmatians II: Patch's London Adventure,2003,3
11:14,2005,3
13 Ghosts,1960,3
18 Again,1988,2
1984,1984,3
2 Fast 2 Furious,2003,3
200 Cigarettes,1999,2
2010: The Year We Make Contact,1984,3
24 Hour Party People,2002,3
25th Hour,2002,3
28 Days Later,2002,3
50 First Dates,2004,3
7 Seconds,2005,2
9 1/2 Weeks,1986,3
A Beautiful Mind,2001,3
A Better Tomorrow II,1988,3
A Christmas Carol,1951,4
A Cinderella Story,2004,3
A Dirty Shame,2004,2
A Fistful of Dollars,1964,3
A Guy Thing,2003,3
A Hard Day's Night: Collector's Series,1964,3
A Home of Our Own,1993,3
A Lesson Before Dying,1999,3
A Little Princess,1995,3
A Love Song for Bobby Long,2004,3
A Man Apart,2003,3
A Mighty Wind,2003,3
A Night at the Opera,1935,4
A Nightmare on Elm Street,1984,3
A Nightmare on Elm Street 3: Dream Warriors,1987,3
A Streetcar Named Desire,1951,3
A Thousand Acres,1997,3
A Walk in the Clouds,1995,3
ABC Primetime: Mel Gibson's The Passion of the Christ,2004,4
Abandon,2002,2
Abbott & Costello Meet the Mummy,1955,3
About Adam,2000,2
About Schmidt,2002,3
About a Boy,2002,3
Absolute Power,1997,3
Absolutely Fabulous: Series 2,1994,3
Absolutely Fabulous: Series 5,2003,4
Ace Ventura: When Nature Calls,1995,3
Action Jackson,1988,2
Addicted to Love,1997,3
Affliction,1998,3
Against the Ropes,2004,3
Agnes Browne,1999,3
Aguirre: The Wrath of God,1972,3
Aimee and Jaguar,2000,3
Air Bud Spikes Back,2003,3
Air Bud: World Pup,2000,3
Airplane II: The Sequel,1982,3
Aladdin: Platinum Edition,1992,4
Alex and Emma,2003,2
Ali G Indahouse,2002,2
Alias: Season 1,2001,4
Alias: Season 4,2005,4
Alien: Collector's Edition,1979,4
Alien: Resurrection: Collector's Edition,1997,3
Aliens: Collector's Edition,1986,4
All Creatures Great and Small: Series 1,1978,3
All I Wanna Do,2000,3
All Quiet on the Western Front,1930,3
All of Me,1984,3
All the Pretty Horses,2000,2
All the Right Moves,1983,3
Along Came Polly,2004,3
Amarcord,1974,3
Amazon Women on the Moon,1987,3
America's Sweethearts,2001,3
American Beauty,1999,3
American Pimp,2000,3
American Psycho,2000,3
American Psycho 2,2002,2
American Wedding,2003,3
Amores Perros,2000,3
An American Rhapsody,2001,3
An Evening With Kevin Smith,2002,4
An Ideal Husband,1999,3
An Officer and a Gentleman,1982,3
Angel: Season 4,2002,4
Animal Crackers,1930,4
Annie,1999,3
Annie: Special Anniversary Edition,1982,3
Another Day in Paradise,1998,3
April Fool's Day,1986,3
Aqua Teen Hunger Force: Vol. 1,2000,4
Arachnophobia,1990,3
Ararat,2002,3
Armageddon,1997,3
Armed and Dangerous,1986,3
Army of Darkness,1993,3
Around the World in 80 Days,2004,3
As Time Goes By: Series 1 and 2,1992,4
Aspen Extreme,1993,2
At Close Range,1984,3
BASEketball,1998,3
Baby Boom,1987,3
Babylon 5: Season 4,1996,4
Back to School,1986,3
Back to the Future Part III,1990,3
Bad Boys,1995,3
Bad Boys II,2003,3
Bad Education,2004,3
Bagdad Cafe,1988,3
Bananas,1971,3
Barbarella,1968,2
Barbershop,2002,3
Basquiat,1996,3
Batman Begins,2005,4
Batman Beyond: Return of the Joker,2000,3
Batman Beyond: The Movie,1999,3
Batman: Mask of the Phantasm,1993,3
Batman: The Animated Series: Tales of the Dark Knight,1992,3
Battleship Potemkin,1925,3
Beaches,1988,3
Bean: The Movie,1997,3
Beautiful Creatures,2000,2
Beautiful Thing,1996,3
Beauty Shop,2005,3
Beauty and the Beast,1946,3
Bedazzled,2000,3
Behind the Planet of the Apes,1998,3
Being John Malkovich,1999,3
Belly of the Beast,2003,3
Beloved,1998,2
Below,2002,3
Bend It Like Beckham,2002,3
Bent,1997,3
Best of The Muppet Show: Peter Sellers / John Cleese / Dudley Moore,1978,3
Better Off Dead,1985,3
Better Than Sex,2000,3
Beverly Hills Cop,1984,3
Beverly Hills Cop III,1994,3
Beverly Hills Ninja,1997,3
Beyond Borders,2003,3
Biggie & Tupac,2002,2
Bill Cosby: Himself,1983,4
Birdman of Alcatraz,1962,3
Birdy,1984,3
Black Adder,1983,3
Black Adder Back & Forth,1999,3
Black Dog,1998,3
Black Mask,1998,3
Black Orpheus,1959,3
Black and White,1999,2
Blade: Trinity,2004,3
Blame It on Rio,1984,2
Blankman,1994,2
Blind Spot: Hitler's Secretary,2002,3
Blow Dry,2001,3
Blue Hawaii,1961,3
Blue Planet: IMAX,1990,3
Bob Roberts,1994,3
Born Free,1966,3
Born Yesterday,1993,2
Bottle Rocket,1996,3
Bound,1996,3
Bowling for Columbine,2002,3
Boy Meets World: Season 1,1993,3
Boys and Girls,2000,3
Boyz N the Hood,1991,3
Bram Stoker's Dracula,1992,3
Brassed Off,1996,3
Braveheart,1995,4
Breathless,1983,2
Bride and Prejudice,2004,3
Bride of Chucky,1998,2
Bridget Jones's Diary,2001,3
Bringing Out the Dead,1999,2
Bringing Up Baby,1938,4
Brother Bear (Theatrical Widescreen Version),2003,3
Bruce Almighty,2003,3
Buffalo '66,1998,3
Buffalo Soldiers,2001,2
Buffy the Vampire Slayer: Season 6,2001,4
Burnt by the Sun,1994,3
Buying the Cow,2002,3
CSI: Season 1,2000,4
Calle 54,2000,3
Candyman 3: Day of the Dead,1999,2
Captain Blood,1935,3
Captain Corelli's Mandolin,2001,3
Captain Pantoja and the Special Services,2000,3
Carandiru,2004,3
Carolina,2004,3
Casino: 10th Anniversary Edition,1995,4
Casper,1995,3
Casualties of War,1989,3
Cecil B. Demented,2000,2
Center Stage,1999,3
Chain Reaction,1996,3
Chappelle's Show: Season 1,2003,4
Character,1997,3
Charade,1963,4
Charlotte's Web,1973,3
Chasing Amy,1997,3
Cheech & Chong's Up in Smoke,1978,3
Children of a Lesser God,1986,3
Children of the Corn,1984,3
Children of the Corn 4: The Gathering,1996,2
Chocolat,1988,3
Cinderella II,2001,3
Cirque du Soleil: Dralion,2000,3
Cirque du Soleil: Varekai,2003,3
Citizen X,1998,3
City Lights,1931,4
City by the Sea,2002,3
City of Ghosts,2003,2
Clash of the Titans,1981,3
Clerks,1994,3
Cloak & Dagger,1984,3
Clockers,1995,3
Club Dread,2004,2
Coach Carter,2005,4
Cocoon,1985,3
Code of Silence,1985,2
Coffee and Cigarettes,2003,2
Collateral Damage,2002,2
Comedian,2002,3
Commando,1985,3
Conan the Barbarian,1981,3
Concert for George,2003,3
Confessions of a Teenage Drama Queen,2004,2
Congo,1995,2
Control Room,2004,3
Cop and a Half,1993,2
Coupling: Season 1,2000,3
Cousins,1989,3
Cowboy Bebop Remix,1999,3
Cowboys & Angels,2003,3
Cradle Will Rock,1999,3
Crazy/Beautiful,2001,3
Creepshow,1982,3
Cries and Whispers,1972,3
Critters,1986,2
Crocodile Dundee 2,1988,2
Cronos,1993,2
Crooklyn,1994,3
Croupier,1998,3
Cry Freedom,1987,3
Cube 2: Hypercube,2002,2
Cujo,1983,3
Curb Your Enthusiasm: Season 3,2002,4
Curly Sue,1991,2
Cyborg,1989,2
D.A.R.Y.L.,1985,3
Damien: Omen II,1978,3
Damn the Defiant,1962,3
Dance with Me,1998,3
Dangerous Minds,1995,3
Dante's Peak,1997,3
Daredevil,2003,2
Dark City,1998,3
Dark Victory,1939,3
Daughter from Danang: American Experience,2002,3
Dawn of the Dead,2004,3
Dead Birds,2005,2
Dead Man on Campus,1998,3
Dead Men Don't Wear Plaid,1982,3
Dead Ringers,1988,3
Dear Frankie,2004,3
Death Becomes Her,1992,3
Death Wish,1974,3
Death to Smoochy,2002,3
Deep Cover,1992,3
Defending Your Life,1991,3
Dersu Uzala,1975,3
Dial M for Murder,1954,4
Die Hard 2: Die Harder,1990,3
Dinner Rush,2001,3
Dinosaur,2000,3
Dinotopia,2002,3
Dirty Rotten Scoundrels,1988,3
Dirty Work,1998,3
Disclosure,1994,3
Disturbing Behavior,1998,3
Doctor Zhivago,1965,3
Dogma,1999,3
Dolores Claiborne,1994,3
Domestic Disturbance,2001,3
Don't Say a Word,2001,3
Double Impact,1991,2
Double Team,1997,2
Dr. Dolittle 2,2001,3
Dr. Seuss' The Cat in the Hat,2003,2
Dr. Seuss: Green Eggs and Ham and Other Favorites,1961,3
Dr. T & the Women,2000,2
Dracula,1931,3
Dragon Ball Z: Super Android 13,1992,3
Dragon: The Bruce Lee Story,1993,3
Dragonheart,1996,3
Drop Dead Fred,1991,3
Drunken Master,2000,3
Dungeons & Dragons,2000,2
Duplex (Widescreen),2003,3
Earth Girls Are Easy,1989,2
Earthsea,2004,3
East/West,2000,3
Eat Drink Man Woman,1994,3
Ed Wood,1994,3
Eddie and the Cruisers,1983,3
Elephant,2003,3
Elf,2003,3
Elizabeth,1998,3
Elvira,1988,2
Emma (Miniseries),1996,3
Empire Falls,2005,3
Encino Man,1992,3
End of Days,1999,3
End of the Century: The Story of the Ramones,2004,3
Enduring Love,2004,2
Ernest Goes to Jail,1990,2
Escaflowne: The Movie,2000,3
Escape from Alcatraz,1979,3
Eternal Sunshine of the Spotless Mind,2004,3
Evelyn,2002,3
Ever After: A Cinderella Story,1998,3
Everybody Loves Raymond: Season 1,1996,3
Everybody Loves Raymond: Season 3,1998,3
Evil Dead 2: Dead by Dawn,1987,3
Evolution,2001,3
Excess Baggage,1997,2
Existenz,1999,3
Exit Wounds,2001,2
Exit to Eden,1994,2
Exodus,1960,3
Extreme Measures,1996,3
Eye of the Needle,1981,3
Fahrenheit 451,1966,3
Fallen,1998,3
Falling Down,1993,3
Fame,1980,3
Family Guy: Freakin' Sweet Collection,2004,4
Fantasia 2000,2000,3
Farewell My Concubine,1993,3
Farinelli,1994,3
Farscape: Season 2,2000,4
Farscape: The Peacekeeper Wars,2004,4
Fast,1997,3
Fatal Beauty,1987,2
Father's Little Dividend,1951,3
Fear and Loathing in Las Vegas,1998,3
Fever Pitch,1997,2
Fifteen Minutes,2001,3
Final Fantasy: The Spirits Within,2001,3
Finding Nemo (Widescreen),2003,4
Finding Neverland,2004,4
Fire in the Sky,1993,3
Firefly,2002,4
Firestarter,1984,3
First Kid,1996,3
First Knight,1995,3
Flatliners,1990,3
Fletch Lives,1989,3
Flight of the Navigator,1986,3
Flowers in the Attic,1987,3
Fly Away Home,1996,3
Food of Love,2002,3
Footloose: Special Collector's Edition,1984,3
For Keeps,1988,3
For Your Eyes Only,1981,3
For the Boys,1991,3
Forever Young,1992,3
Four Weddings and a Funeral,1994,3
Foyle's War: Set 2,2003,4
Frances,1982,3
Frankie and Johnny,1991,3
Freaky Friday,1976,3
Freaky Friday,2003,3
Freddy Got Fingered,2001,2
Freddy vs. Jason,2003,2
Free Willy,1993,3
Frenzy,1972,3
Frida,2002,3
Friday After Next,2002,3
Friday Night Lights,2004,3
Friday the 13th: Part 3,1982,3
Fried Green Tomatoes,1991,3
Friends: Season 2,1995,3
Friends: Season 6,1999,4
Fright Night,1985,3
From Dusk Till Dawn 2: Texas Blood Money,1998,2
From Hell,2001,3
From the Earth to the Moon: The Signature Edition,1998,4
Funny Face,1957,3
Funny Lady,1975,3
Futurama: Monster Robot Maniac Fun Collection,1999,4
Futurama: Vol. 1,1999,4
Garden State,2004,3
Gentlemen Prefer Blondes,1953,3
George Carlin: Carlin at Carnegie,1982,3
George Carlin: Complaints and Grievances,2001,3
George Carlin: George's Best Stuff,1996,3
George Carlin: Personal Favorites,1990,4
Geronimo: An American Legend,1993,3
Gerry,2002,2
Get Real,1999,3
Get Your Stuff,2000,3
Ghost,1990,3
Ghost Dog: The Way of the Samurai,2000,3
Ghost Ship,2002,3
Ghost in the Shell,1995,3
Ghosts of the Abyss,2003,3
Giant,1956,3
Gilmore Girls: Season 1,2000,4
Gilmore Girls: Season 3,2002,4
Ginger Snaps Back: The Beginning,2004,3
Girls Just Want to Have Fun,1985,3
Going My Way / Holiday Inn,1944,3
Goldfinger,1964,3
Good Advice,2001,3
Good Guys Wear Black,1978,2
Gordy,1995,2
Grateful Dawg,2000,3
Graveyard Shift,1990,2
Grease 2,1982,2
Great Balls of Fire!,1989,3
Gremlins 2: The New Batch,1990,3
Gross Anatomy,1989,3
Grumpy Old Men,1993,3
Guarding Tess,1994,3
Gun Shy,2000,2
Hackers,1995,3
Hair,1979,3
Half Baked,1998,3
Half Past Dead,2002,3
Halloween 5: The Revenge of Michael Myers,1989,3
Halloween II,1981,3
Halloween: H2O,1998,3
Happiness,1998,3
Hard Boiled,1992,3
Hard Eight,1996,3
Harlem Nights,1989,3
Harold and Kumar Go to White Castle,2004,3
Harrison's Flowers,2002,3
He Got Game,1998,3
He Loves Me,2002,3
He Said,1991,3
Head in the Clouds,2004,3
Heathers,1989,3
Heaven & Earth,1993,3
Hellbound: Hellraiser II,1988,3
Hellfighters,1968,3
Hellraiser V: Inferno,2000,3
Henry V,1944,3
Herbie Rides Again,1974,3
Hercules,1997,3
Here on Earth,2000,3
Hidden Agenda,1990,2
High Art,1998,3
High Fidelity,2000,3
High and Low,1963,3
Highlander: Season 4,1994,4
Highlander: Season 5,1996,4
Highway,2001,2
His Secret Life,2001,3
History of the World: Part 1,1981,3
Hocus Pocus,1993,3
Holiday in the Sun,2001,3
Hollow Man,2000,2
Hollywood Shuffle,1987,3
Home Alone 2: Lost in New York,1992,2
Home Movie,2001,3
Honey,2003,3
Hook,1991,3
Hoop Dreams,1994,4
Hostage,2005,3
House of Cards Trilogy I: House of Cards,1990,3
House of Cards Trilogy II: To Play the King,1994,4
House of Sand and Fog,2003,3
House of Wax / The Mystery of the Wax Museum,1953,3
House of the Dead,2003,1
House of the Spirits,1994,3
How Green Was My Valley,1941,3
How High,2001,3
How To Be A Player,1997,3
Hudson Hawk,1991,2
Husbands and Wives,1992,3
Hysterical Blindness,2002,2
I Can Do Bad All By Myself,2002,3
I Capture the Castle,2003,3
I Love Lucy: Season 2,1952,4
I Love Lucy: Season 4,1954,4
I Spy,2002,3
I Still Know What You Did Last Summer,1998,2
I Think I Do,1997,3
I Want to Live!,1958,3
I'm Not Scared,2003,3
Identity,2003,3
If These Walls Could Talk,1996,3
Igby Goes Down,2002,3
Il Postino,1995,3
Imitation of Life: Double Feature (1934,1934,3
Immortal Beloved,1994,3
Impostor,2000,3
Impromptu,1991,3
In Dreams,1999,3
In Good Company,2004,3
In Living Color: Season 2,1990,3
In Living Color: Season 3,1991,3
In Too Deep,1999,3
In the Mood for Love,2001,3
In the Realm of the Senses,1976,2
Indiscreet,1958,3
Indochine,1992,3
Innerspace,1987,3
Inspector Gadget 2,2003,2
Into the Woods,1990,3
Inu-Yasha,2000,4
Invader Zim,2004,4
Invasion of the Body Snatchers,1956,3
Irreversible,2002,2
Jack,1996,3
Jack Frost,1998,2
Jade,1995,2
Jane Eyre,1997,3
Jason Goes to Hell,1993,2
Jason and the Argonauts,1963,3
Jaws,1975,3
Jeff Foxworthy: Totally Committed,1998,3
Jimmy Neutron: Boy Genius,2001,3
Jingle All the Way,1996,2
Jo Jo Dancer,1986,2
Joe Kidd,1972,3
Joe Versus the Volcano,1990,2
Journey to the Center of the Earth,1959,3
Journey to the Center of the Earth,1999,3
Joy Ride,2001,3
Ju-on: The Grudge,2003,3
Judgment Day,1999,2
Juice,1992,3
Jungle Fever,1991,3
Jurassic Park III,2001,3
Just Visiting,2001,3
Justice League,2001,3
Justice League: Justice on Trial,2001,3
K-9,1989,2
Kickboxer,1989,3
Kicking & Screaming,2005,3
Kill Bill: Vol. 2,2004,3
Kind Hearts and Coronets,1949,3
King of the Hill: Season 1,1997,3
King of the Hill: Season 3,1998,3
King's Ransom,2005,2
Knight Rider: Season 1,1982,3
Krippendorf's Tribe,1998,2
Krull,1983,3
Kurt & Courtney,1998,2
Larry the Cable Guy: Git-R-Done,2003,3
Last Man Standing,1996,3
Law & Order: Special Victims Unit: The First Year,1999,4
Le Cercle Rouge,1970,3
Le Divorce,2003,2
Led Zeppelin: The Song Remains the Same,1976,3
Left Behind II: Tribulation Force,2002,3
Legend of 1900,1998,3
Leprechaun,1993,2
Les Miserables in Concert,1996,3
Lethal Weapon,1987,3
Lethal Weapon 3,1992,3
Liar Liar,1997,3
Lies,1999,2
Life,1999,3
Life and Debt,2001,3
Life as a House,2001,3
Life or Something Like It,2002,3
Like It Is,1998,3
Like Water for Chocolate,1992,3
Lilies of the Field,1963,3
Lilo and Stitch,2002,3
Little House on the Prairie: Season 2,1975,3
Little House on the Prairie: Season 3,1976,4
Little House on the Prairie: Season 6,1979,4
Little Nicky,2000,2
Live Flesh,1997,3
Live From Baghdad,2002,3
Local Hero,1983,3
Lock,1998,3
Logan's Run,1976,3
Lonesome Dove,1989,4
Look Who's Talking,1989,3
Look Who's Talking Too,1990,2
Look at Me,2005,3
Lord of Illusions,1995,3
Lord of the Rings: The Fellowship of the Ring,2001,4
Lost: Season 1,2004,4
Love Actually,2003,3
Love Potion #9,1991,3
Love in the Afternoon,1957,3
MASH: Season 7,1978,4
MI-5: Vol. 2,2003,4
MTV: Punk'd: Season 2,2003,3
Madeline,1998,3
Mafia!,1998,3
Maid to Order,1987,2
Major League,1989,3
Man Bites Dog,1992,3
Man of the House,1995,3
Man on Fire,2004,3
Man on the Moon,2000,3
Man on the Train,2002,3
Mannequin,1987,3
Mansfield Park,1999,3
Marathon Man,1976,3
Married... with Children: The Most Outrageous Episodes: Vol. 2,1987,3
Mars Attacks!,1996,2
Marty,1955,3
Marvin's Room,1996,3
Masters of the Universe,1987,2
Matewan,1987,3
Matilda: Special Edition,1996,3
Me Myself I,2000,3
Mean Creek,2004,3
Mean Girls,2004,3
Meet John Doe,1941,3
Meet the Browns,2004,3
Men in Black II,2002,3
Message in a Bottle,1999,3
Michael Collins,1996,3
Michael Moore's The Awful Truth: Season 2,2001,3
Midnight Cowboy,1969,3
Mighty Quinn,1989,3
Millennium Actress,2002,3
Missing in Action 2: The Beginning / Missing in Action 3: Braddock,1985,3
Mississippi Burning,1988,3
Mo' Money,1992,2
Modern Times,1936,3
Monk: Season 2,2003,4
Monkey Trouble,1994,2
Monkeybone,2001,2
Monsoon Wedding,2001,3
Monty Python's The Meaning of Life: Special Edition,1983,4
Monty Python: The Life of Python,2000,3
Moonstruck,1987,3
Mortal Kombat: The Movie,1995,3
Morvern Callar,2002,2
Mostly Martha,2002,3
Mr. Magoo,1997,2
Mr. Show: Season 2,1996,3
Mumford,1999,3
Muppets From Space,1999,3
Murder on the Orient Express,1974,3
Muriel's Wedding,1994,3
Murphy's Romance,1985,3
Music of the Heart,1999,3
Mutiny on the Bounty,1935,3
My Bodyguard,1980,3
My Dinner with Andre,1981,3
My Family,1995,3
My Favorite Wife,1940,3
My Favorite Year,1982,3
My Girl 2,1994,3
My Man Godfrey,1936,3
My Neighbor Totoro,1988,4
My Science Project,1985,3
Mystery Men,1999,2
Mystery Science Theater 3000: The Wild World of Batwoman,1993,3
NYPD Blue: Season 2,1994,3
Naked Gun 2 1/2: The Smell of Fear,1991,3
Napoleon Dynamite,2004,3
Narrow Margin,1990,3
National Geographic: Beyond the Movie: The Lord of the Rings,2001,3
National Lampoon's Vacation,1983,3
National Lampoon's Van Wilder,2002,3
Nausicaa of the Valley of the Wind,1984,4
Ned Kelly,2004,3
Neon Genesis Evangelion: The End of Evangelion,1995,3
Network,1976,3
Never Die Alone,2004,2
Newsies,1992,3
Nicholas Nickleby,2002,3
Nick of Time,1995,3
Night and Fog,1955,3
Nightbreed,1990,3
Nine Dead Gay Guys,2003,3
Nine Months,1995,3
Nine to Five,1980,3
Nip/Tuck: Season 2,2004,4
No Way Out,1987,3
Nobody Knows,2005,3
Normal,2003,3
North by Northwest,1959,4
Northern Exposure: Season 1,1990,4
Northfork,2003,2
Nosferatu: Original Version,1929,3
Not Another Teen Movie,2001,3
Not One Less,2000,3
